Number of stations is:
756 
     nw stn lat lon:
CI SCZ2  33.995  -119.635
TA C21K  69.156  -154.783
AV _AUL  59.382  -153.438
AK BRLK  59.751  -150.906
AV BOGO  53.929  -168.035
IU _SDV  8.884  -70.634
CC NORM  43.739  -121.253
N4 R49A  38.292  -85.171
CC PR01  46.910  -122.038
TA L29M  63.109  -138.129
AK _CYK  60.082  -142.487
TA G26K  66.950  -143.785
CC SHRK  45.464  -121.529
CI EDW2  34.881  -117.994
AK EYAK  60.549  -145.750
AZ _FRD  33.495  -116.602
AK _MLY  65.030  -150.744
AK VRDI  61.227  -143.454
NM PLAL  34.982  -88.076
LD WVNY  42.406  -78.604
CU TGUH  14.057  -87.273
TA T33K  56.814  -132.952
N4 S39B  37.691  -93.323
AT CRAG  55.469  -133.123
US COWI  46.100  -89.137
AV AUJA  59.340  -153.423
N4 R40B  38.291  -92.268
MX CCIG  16.282  -92.137
TA J19K  63.994  -155.621
CI _MWC  34.224  -118.058
_G _UNM  19.330  -99.178
TA P19K  59.652  -153.232
N4 Y49A  33.858  -86.412
N4 553A  30.189  -84.432
AV AU22  59.370  -153.357
TA 121A  32.532  -107.785
US _BLA  37.211  -80.420
IU _CCM  38.056  -91.245
TA S12K  55.703  -162.061
NM SIUC  37.715  -89.217
N4 V55A  35.852  -81.215
CI _HEC  34.829  -116.335
TA F20K  67.049  -155.725
PR PDPR  18.018  -66.022
TA F18K  66.600  -159.651
CC PR03  46.903  -122.033
TA M11K  60.385  -166.201
N4 Z35B  33.331  -97.253
AK COLD  67.227  -150.204
CN YKAW  62.562  -114.610
AT CHGN  56.301  -158.414
TA M22K  61.753  -150.120
AK KHIT  60.443  -143.251
TA P17K  59.195  -156.439
TA D20K  68.713  -156.613
N4 P46A  39.618  -87.207
TA F28M  67.614  -139.872
CC VALT  46.214  -122.189
TA R33M  59.395  -130.967
TA O15K  59.177  -159.825
N4 S44A  37.694  -89.255
N4 250A  31.978  -86.268
US HAWA  46.392  -119.533
CI _SWS  32.945  -115.800
NM PBMO  36.779  -90.430
N4 441B  30.750  -93.190
TA O22K  60.481  -149.724
AK BESE  58.579  -134.856
CU GTBY  19.927  -75.111
CC CPCO  43.722  -121.233
AK GRNC  60.731  -141.756
US DGMT  48.470  -104.196
CI _DGR  33.650  -117.009
TA O29M  60.302  -138.576
N4 152A  32.669  -84.719
TA J17K  63.397  -159.078
TA G16K  65.394  -162.355
N4 P51A  39.482  -83.060
TA N32M  61.151  -133.082
TA D25K  69.322  -146.375
UO PINE  43.792  -120.941
LD GEDE  39.811  -75.636
TA H16K  64.638  -162.239
TA K27K  64.029  -142.076
AK _GLB  61.442  -143.812
TA N16K  60.474  -158.769
AV RDWB  60.487  -152.843
CI _BEL  34.001  -115.998
CN _RES  74.689  -94.896
AZ _KNW  33.714  -116.712
N4 L42A  42.004  -89.667
CI _OSI  34.614  -118.724
AK _SSN  61.464  -150.747
N4 R61A  38.330  -75.339
CI _ISA  35.663  -118.474
N4 K30B  42.674  -99.613
NM UALR  34.775  -92.343
TA P18K  59.392  -155.229
AV PS1A  55.420  -161.744
TA L20K  62.479  -153.880
CI _PDM  34.303  -114.142
US CBKS  38.814  -99.737
AK _CUT  62.406  -150.262
TA I26K  65.306  -143.154
N4 V58A  35.794  -79.115
UW HEBO  45.214  -123.755
TA O18K  59.854  -155.208
IU _TUC  32.310  -110.785
AK BRSE  59.742  -150.741
AK GCSA  64.746  -156.879
UU _SRU  39.111  -110.524
TA P08K  56.601  -169.548
AK _HIN  60.396  -146.504
N4 N47A  40.880  -85.694
TA E19K  67.457  -157.232
